message_id,keyword
':uuid:101','お腹空いた'
':uuid:101','おなか空いた'
':uuid:101','お腹すいた'
':uuid:101','おなかすいた'
':uuid:102','こんにちは'
':uuid:103','おはよう'
':uuid:104','こんばんは'
':uuid:401','0 30 9 * * *'
':uuid:401','0 30 17 * * *'
':uuid:105','なんとかして'
':uuid:106','メール'
':uuid:106','mail'
':uuid:107','難しい'
':uuid:107','むずかしい'
':uuid:108','誕生日'
':uuid:108','たんじょうび'
':uuid:108','たんじょう日'
':uuid:109','斉野平'
':uuid:109','さいのひら'
':uuid:109','sainohira'
':uuid:110','ありがとう'
':uuid:110','有難う'
':uuid:110','有り難う'
':uuid:110','サンキュー'
':uuid:110','thank you'
':uuid:111','出来た'
':uuid:111','できた'
':uuid:112','使いません'
':uuid:112','つかいません'
':uuid:113','好きな言語は'
':uuid:114','今日の夕飯'
':uuid:114','今日の晩飯'
':uuid:114','今夜のご飯'
':uuid:114','今夜の飯'
':uuid:114','今晩のご飯'
':uuid:114','今晩の飯'
':uuid:114','晩ご飯'
':uuid:114','晩飯'
':uuid:115','晴れ'
':uuid:116','雨'
':uuid:117','雪'
':uuid:118','雨あがっ'
':uuid:118','雨止ん'
':uuid:118','雨やん'
':uuid:119','疲れた'
':uuid:119','つかれた'
':uuid:120','待って'
':uuid:120','まって'
':uuid:121','チャンス'
':uuid:121','ちゃんす'
':uuid:122','失敗'
':uuid:122','しっぱい'
':uuid:123','猫'
':uuid:123','ねこ'
':uuid:123','ネコ'
':uuid:124','犬'
':uuid:124','イヌ'
':uuid:124','いぬ'
':uuid:125','熊'
':uuid:125','くま'
':uuid:125','クマ'
':uuid:126','レビュー一覧'
':uuid:126','レビューの一覧'
':uuid:126','レビューリスト'
':uuid:126','レビューのリスト'
':uuid:127','レビューチェック開始'
':uuid:127','レビューする'
':uuid:127','レビューしたい'
':uuid:127','れびゅーする'
':uuid:127','レビューさせ'
':uuid:127','れびゅーしたい'
':uuid:127','れびゅーさせ'
':uuid:127','れびゅーちぇっくかいし'
':uuid:127','レビューチェックする'
':uuid:127','レビューチェックしたい'
':uuid:127','レビューチェックさせ'
